word,phonetic,translation,tag
日本語,にほんご,日语,n5
日本人,にほんじん,日本人,n5
日曜日,にちようび,周日,n5
入る,はいる,进入；含有；加入,n5
入れる,いれる,放进；沏（茶等）,n5
猫,ねこ,猫,n5
熱い,あつい,热的，烫的,n5
年,とし,年；年龄,n5
買い物,かいもの,买东西；买的东西,n5
買う,かう,购买,n5
売る,うる,出售,n5
白,しろ,白，白色,n5
白い,しろい,白色的；空白的,n5
薄い,うすい,薄的；（颜色、味道等）淡的；（程度）轻的,n5
箸,はし,筷子,n5
八つ,やっつ,八个；八岁,n5
八日,ようか,八天；八号,n5
髪,かみ,头发,n5
半,はん,半，一半,n5
半分,はんぶん,一半,n5
晩,ばん,夜晚，晚上,n5
晩ご飯,ばんごはん,晚饭,n5
番号,ばんごう,号码,n5
彼,かれ,他；男朋友,n5
彼女,かのじょ,她；女朋友,n5
疲れる,つかれる,疲倦，累,n5
飛ぶ,とぶ,飞翔；吹起,n5
飛行機,ひこうき,飞机,n5
鼻,はな,鼻子,n5
百,ひゃく,百,n5
病院,びょういん,医院（拥有20张及以上床位）,n5
付ける,つける,安上；穿上；写上；定价；涂上；附上；打分,n5
夫,おっと,丈夫,n5
父,ちち,（跟别人提及时）爸爸，父亲,n5
部屋,へや,房间,n5
風,かぜ,风,n5
風邪,かぜ,感冒,n5
風呂,ふろ,浴缸；洗澡；澡堂,n5
服,ふく,衣服,n5
物,もの,东西，物品,n5
分かる,わかる,明白，懂；知道,n5
聞く,きく,听；询问,n5
平仮名,ひらがな,平假名,n5
並ぶ,ならぶ,排队，排列,n5
並べる,ならべる,排列,n5
片仮名,かたかな,片假名,n5
便利,べんり,方便，便利,n5
勉強,べんきょう,学习,n5
弁当,べんとう,便当，盒饭,n5
歩く,あるく,步行,n5
帽子,ぼうし,帽子,n5
忘れる,わすれる,忘记，遗忘,n5
忙しい,いそがしい,忙碌的,n5
北,きた,北方，北面,n5
北側,きたがわ,北方，北侧,n5
僕,ぼく,（男子自称）我,n5
本,ほん,书本，书籍,n5
本屋,ほんや,书店,n5
本棚,ほんだな,书柜，书架,n5
本当,ほんとう,真实，事实，真的,n5
磨く,みがく,磨，刷；磨练,n5
妹,いもうと,（自己的）妹妹,n5
毎月,まいつき,每个月,n5
毎週,まいしゅう,每周,n5
毎朝,まいあさ,每天早上,n5
毎日,まいにち,每天,n5
毎年,まいとし,每年,n5
毎晩,まいばん,每晚,n5
万,まん,（数量）万,n5
みかん,みかん,橘子，柑橘,n5
名前,なまえ,名字,n5
明るい,あかるい,明亮的；快活的,n5
明日,あした,明天,n5
面白い,おもしろい,有趣的；快乐的，愉快的,n5
木,き,树木；木材,n5
木曜日,もくようび,周四,n5
目,め,眼睛,n5
問題,もんだい,问题，题目；麻烦事,n5
夜,よる,晚上，夜间,n5
野菜,やさい,蔬菜,n5
薬,くすり,药，药品,n5
友達,ともだち,朋友,n5
有名,ゆうめい,有名的,n5
遊ぶ,あそぶ,玩耍,n5
郵便局,ゆうびんきょく,邮局,n5
夕方,ゆうがた,傍晚,n5
洋服,ようふく,（西装、裤子、连衣裙、裙子等）衣服,n5
葉書,はがき,明信片,n5
欲しい,ほしい,想要；（「…てほしい」）想要……做,n5
来る,くる,来,n5
来月,らいげつ,下个月,n5
来週,らいしゅう,下周,n5
来年,らいねん,明年,n5
卵,たまご,蛋，鸡蛋；未成熟者,n5
立つ,たつ,站立；竖立；离开，动身,n5
留学,りゅうがく,留学,n5
留学生,りゅうがくせい,留学生,n5
旅行,りょこう,旅游,n5
両親,りょうしん,双亲，父母,n5
料理,りょうり,菜肴；做菜,n5
良い,よい,优秀的；好的；亲近的；没关系；确实的,n5
緑,みどり,绿色,n5
隣,となり,旁边；邻居,n5
冷たい,つめたい,冰凉的；冷淡的,n5
冷蔵庫,れいぞうこ,冰箱,n5
練習,れんしゅう,（学问、运动或技术等）反复练习，训练,n5
六つ,むっつ,六个；六岁,n5
六日,むいか,六天；六号,n5
話,はなし,话；话题，事情；故事,n5
話す,はなす,说，讲，谈,n5
〜家,〜か,（以……为职业的人；经常做……的人）……家,n5
学,がく,……学科,n5
後,ご,……之后,n5
町,ちょう,……町,n5
〜目,〜め,（顺序的数法）第……个,n5
ああ,ああ,那样，那么,n5
あげる,あげる,给予，赠送,n5
あれ,あれ,（表示惊讶、奇怪）哎呀，哎哟,n5
あんな,あんな,那样；那种,n5
いかが,いかが,怎样，如何,n5
頂く,いただく,吃，喝；得到,n5
いつでも,いつでも,无论什么时候，总是,n5
いらっしゃる,いらっしゃる,来；去；在,n5
えっ,えっ,（惊讶或觉得奇怪时）哎，啊,n5
クッキー,cookie,曲奇饼干,n5
くれる,くれる,给（我）,n5
こう,こう,这样，这么,n5
これから,これから,从现在起，之后,n5
すごい,すごい,可怕的；了不起的；非常的,n5
ずっと,ずっと,……得很；一直,n5
そろそろ,そろそろ,快要，就要（做某事）,n5
そんな,そんな,那样；（不）那样,n5
ですから,ですから,因此,n5
テニス,tennis,网球,n5
どこか,どこか,（表示不确定）哪里；总觉得，有些,n5
何で,なんで,为什么，为何,n5
バスケットボール,basketball,篮球,n5
ビル,building,高楼，大厦,n5
プレゼント,present,礼物，赠品,n5
ボール,ball,球,n5
皆,みな,大家；全部,n5
もうすぐ,もうすぐ,马上就要,n5
もう少し,もうすこし,再稍微；差一点，几乎,n5
もらう,もらう,得到，获得,n5
やっと,やっと,终于,n5
やる,やる,做；（上级给下级，人给动物等）给,n5
よく,よく,好好地；经常,n5
一度,いちど,一次，一回,n5
遠く,とおく,远处，远方,n5
火,ひ,火,n5
開く,ひらく,开；开张,n5
感じ,かんじ,感觉；印象,n5
簡単,かんたん,简单，简便,n5
間違える,まちがえる,弄错，搞错,n5
おもちゃ,おもちゃ,玩具；玩物,n5
うれしい,うれしい,高兴的,n5
休み,やすみ,休息；假日；就寝,n5
急ぐ,いそぐ,赶紧，着急,n5
曲がる,まがる,弯曲；拐弯,n5
空港,くうこう,机场,n5
たまに,たまに,偶尔,n5
月,つき,月亮；一个月,n5
見せる,みせる,给……看，展现,n5
固い,かたい,结合紧密的；坚固的，坚定的；顽固的,n5
考え,かんがえ,想法，思想,n5
考える,かんがえる,想，思考，研究,n5
高校生,こうこうせい,高中生,n5
今,こん,现……，本……,n5
妻,つま,妻子,n5
始める,はじめる,开始，开创；开始……,n5
姉,あね,（自己的）姐姐；嫂子,n5
趣味,しゅみ,爱好,n5
終わり,おわり,终，末尾，结束,n5
十分,じゅうぶん,足够，充分，充足,n5
初め,はじめ,初次，当初,n5
消しゴム,けしゴム,橡皮,n5
上がる,あがる,登上；上升；结束,n5
上着,うわぎ,外套；上衣,n5
食事,しょくじ,吃饭，进餐,n5
森,もり,森林,n5
正しい,ただしい,正确的；正当的；端正的,n5
祖父,そふ,祖父；外祖父,n5
祖母,そぼ,祖母；外祖母,n5
足,あし,脚，腿,n5
台所,だいどころ,厨房,n5
大きな,おおきな,大的，巨大的；重大的，非常的,n5
男性,だんせい,男性,n5
茶色い,ちゃいろい,茶色的，褐色的,n5
中国語,ちゅうごくご,中文，汉语,n5
昼休み,ひるやすみ,午休,n5
通う,かよう,来往，往返,n5
店員,てんいん,店员,n5
内,うち,内部；我（们）的；(うち）时候,n5
日,ひ,太阳；白天；天,n5
納豆,なっとう,纳豆,n5
箱,はこ,箱子，匣子,n5
付く,つく,附着，沾上；跟随,n5
返事,へんじ,答应，回答，回信,n5
優しい,やさしい,温柔的，体贴的；优美的,n5
郵便,ゆうびん,邮政，邮件,n5
要る,いる,需要，必要,n5
